Date,Log
2018-07-13 06:01:15.105486,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 9
2018-07-13 06:25:40.884501,Save completed.
2018-07-13 06:49:04.811047,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 10
2018-07-13 07:19:07.185473,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 11
2018-07-13 07:57:50.219064,Commencing Fragmentation: Kino no Tabi- The Beautiful World - The Animated Series Episode 12
2018-07-13 08:21:47.700429,Copied World: Kino no Tabi- The Beautiful World - The Animated Series
2018-07-13 08:21:48.698158,Kino no Tabi- The Beautiful World - The Animated Series conquered.
2018-07-13 08:21:50.691593,Save completed.
2018-07-13 08:27:41.494463,Commencing Fragmentation: Dog Days Episode 1
2018-07-13 08:51:33.330718,Save completed.
2018-07-14 02:07:26.168952,Commencing Fragmentation: Dog Days Episode 2
2018-07-14 02:33:29.881227,Commencing Fragmentation: Dog Days Episode 3
2018-07-14 03:00:00.411558,Save completed.
2018-07-14 04:35:04.204499,Commencing Fragmentation: Dog Days Episode 4
2018-07-14 04:58:56.946686,Save completed.
2018-07-14 06:37:07.228196,Ongaku Shoujo (TV) Installed on AMORPHOUS SAPIENTIA.
2018-07-14 06:37:32.326398,Ready to materialize (mp4): Ongaku Shoujo (TV) Episode 1
2018-07-14 06:45:00.481984,Commencing Rebuild.
2018-07-14 06:45:00.481984,Rebuild successful.
2018-07-14 06:46:01.107367,Save completed.
2018-07-14 07:01:21.514340,Commencing Fragmentation: Dog Days Episode 5
2018-07-14 07:05:43.676379,Copied World: Dog Days
2018-07-14 07:26:14.277935,Save completed.
2018-07-14 20:59:13.011007,Commencing Fragmentation: Violet Evergarden Episode 14
2018-07-14 21:34:58.939805,Save completed.
2018-07-15 00:08:25.276082,Commencing Fragmentation: Dog Days Episode 6
2018-07-15 00:34:54.763563,Save completed.
2018-07-15 01:53:57.283387,Ready to materialize (mp4): Hataraku Saibou Episode 2
2018-07-15 01:56:43.389709,Commencing Fragmentation: Dog Days Episode 7
2018-07-15 02:14:29.865499,Ready to materialize (mp4): Back Street Girls- Gokudolls Episode 2
2018-07-15 02:22:53.115744,Arrange Completed.
2018-07-15 02:23:14.127581,Commencing Fragmentation: Hataraku Saibou Episode 2
2018-07-15 02:24:31.164515,Copied World: Hataraku Saibou
2018-07-15 03:43:35.541126,Commencing Fragmentation: Hataraku Saibou Episode 2
2018-07-15 03:49:39.524046,Commencing Fragmentation: Dog Days Episode 7
2018-07-15 04:14:29.400973,Save completed.
2018-07-15 21:12:14.162526,Copied World: Karakai Jouzu no Takagi-san
2018-07-15 21:13:01.537660,1 World selected.
2018-07-15 21:13:05.539041,Karakai Jouzu no Takagi-san OVA Installed.
2018-07-15 21:13:13.533038,Save completed.
2018-07-16 02:52:24.177079,Iya na Kao sare nagara Opantsu Misete Moraitai Installed on OUTER SAPIENTIA.
2018-07-16 02:52:30.182354,Save completed.
2018-07-16 02:53:04.360649,Commencing Fragmentation: Iya na Kao sare nagara Opantsu Misete Moraitai
2018-07-16 02:53:04.360649,Selected Fragment is unavailable.
2018-07-16 02:53:04.360649,Ready to materialize (mp4): Iya na Kao sare nagara Opantsu Misete Moraitai
2018-07-16 02:54:06.439751,1 World selected.
2018-07-16 02:54:08.447293,1 Worlds Uninstalled.
2018-07-16 02:54:45.663378,Save completed.
